Reference, Value, Footprint, Datasheet
"J3","Aux out","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","~https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308389_EUROSTYLE_TERMINAL_BLOCKS&DocType=CS&DocLang=English"
"J4","Aux in","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","~https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308389_EUROSTYLE_TERMINAL_BLOCKS&DocType=CS&DocLang=English"
"J5","Laser","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","~https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308389_EUROSTYLE_TERMINAL_BLOCKS&DocType=CS&DocLang=English"
"J6","Sensor","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal","~https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308389_EUROSTYLE_TERMINAL_BLOCKS&DocType=CS&DocLang=English"
"SW2","SW_Trigger","Button_Switch_THT:KSA_Tactile_SPST","~http://www.ckswitches.com/media/1457/ksa_ksl.pdf"
"SW4","SW_Arm","Button_Switch_THT:KSA_Tactile_SPST","~http://www.ckswitches.com/media/1457/ksa_ksl.pdf"
"SW3","SW_Poll","Button_Switch_THT:KSA_Tactile_SPST","~http://www.ckswitches.com/media/1457/ksa_ksl.pdf"
"U2","4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf"
"D1","LED Arm","LED_THT:LED_D2.0mm_W4.8mm_H2.5mm_FlatTop","~"
"R1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"J2","Camera","Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles","~https://www.mouser.com/datasheet/2/670/sj1-353xng-1313133.pdf"
"R2","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"BZ1","Buzzer","Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm","~"
"J7","Trig","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","~"
"J8","Arm","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","~"
"D2","LED Trig","LED_THT:LED_D2.0mm_W4.8mm_H2.5mm_FlatTop","~"
"R3","5K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"Q1","PN2222A","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/PN/PN2222A.pdf"
"J9","feather long","Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical","~"
"J10","feather short","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~"
"J11","Spare","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","~https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308389_EUROSTYLE_TERMINAL_BLOCKS&DocType=CS&DocLang=English"
"R4","5K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U3","4N25","Package_DIP:DIP-6_W7.62mm","https://www.vishay.com/docs/83725/4n25.pdf"
"R5","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1","10K","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~"
"C2","0.1uf","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm","~"
"C1","25uf","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm","~"
"J1","Power","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal","~https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308389_EUROSTYLE_TERMINAL_BLOCKS&DocType=CS&DocLang=English"
"SW1","SW_Power","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~"
"U1","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf"
